StudentID,SpendHours,CountryLive,Gender,AgeRange,EducationLevel,InitialExpectID,InitialExpectValue,EndExpectID,EndExpectValue
9d9e7bba654eabaa6b1c0caf8ccd31de7af24402,1 a 2 horas,co - Colombia,Femenino,45-54,Carrera profesional,2,Regular,4,Muy buena
0c365b02c73f5444bf48f00b18b9c8ec23a15444,5 a 6 horas,co - Colombia,Femenino,45-54,Licenciatura en docencia,3,Buena,5,Excelente
1d4e7552451e06acf4c29c8c77435a0c055b71f7,9 horas o mas,co - Colombia,Femenino,25-34,Carrera profesional,2,Regular,3,Buena
5499e67afc17c94afd1e7975118e4318ac7a8559,3 a 4 horass,co - Colombia,Femenino,25-34,Licenciatura en docencia,2,Regular,4,Muy buena
1d4e7552451e06acf4c29c8c77435a0c055b71f7,9 horas o mas,co - Colombia,Femenino,25-34,Carrera profesional,2,Regular,3,Buena
ad84e91a162956d9a2350dd87433dc2a7895aaac,9 horas o mas,mx - Mexico,Femenino,45-54,Carrera profesional,2,Regular,4,Muy buena
dabd5a4e942464b840d7fda606b327aa09d9e743,1 a 2 horas,pe - Peru,Masculino,18-24,Carrera profesional,2,Regular,4,Muy buena
0958b8467fcf763930c3932be2713a8a47c65540,3 a 4 horass,mx - Mexico,Femenino,25-34,Carrera profesional,3,Buena,4,Muy buena
9eadf278a612719809bbf0b00a9dc20f0d09f6fb,3 a 4 horass,es - Espana,Masculino,35-44,Carrera tecnica,3,Buena,4,Muy buena
49bf673aa3df2af3a65b2c99c9cb17848aca921c,5 a 6 horas,mx - Mexico,Masculino,25-34,Carrera tecnica,3,Buena,4,Muy buena
e3de46c875fec529b3ecfbb65ab034e9bb41d428,1 a 2 horas,cl - Chile,Femenino,25-34,Maestria,2,Regular,5,Excelente
7675de069c86af46499eb85d863a7f09b5df2c4e,3 a 4 horass,co - Colombia,Femenino,18-24,Carrera profesional,4,Muy buena,5,Excelente
97259c69bab61d727fb69c348e7fe64994cba044,3 a 4 horass,co - Colombia,Masculino,18-24,Carrera profesional,4,Muy buena,5,Excelente
58852b0da6b55ae9666c0c550ffcbd11bacf60c9,9 horas o mas,co - Colombia,Femenino,45-54,Carrera profesional,1,Poca,5,Excelente
226592ce0d31056be21f1b432a872c6b5ca41509,3 a 4 horass,ar - Argentina,Femenino,45-54,Carrera profesional,2,Regular,4,Muy buena
1ca6721be703728f4190643bedb41ea834e5ebfb,5 a 6 horas,co - Colombia,Masculino,25-34,Carrera tecnica,5,Excelente,3,Buena
9222a7730b0917a1982ddfa321681840da5d7bd1,3 a 4 horass,,Femenino,45-54,Posgrado,5,Excelente,5,Excelente
440b6f45faf1118456da45950b36b7b385fe1702,3 a 4 horass,mx - Mexico,Femenino,35-44,Carrera profesional,2,Regular,5,Excelente
53887b4334234ecbd1025750ae0609aa7ed9a75a,9 horas o mas,mx - Mexico,Femenino,45-54,Licenciatura en docencia,2,Regular,4,Muy buena
ddf4bbb19ddcac30b7cfdb28734f1a7729262665,3 a 4 horass,co - Colombia,Femenino,35-44,Posgrado,1,Poca,4,Muy buena
cff4e3cb20a0cbb87a285c401b3c15959b2a4507,5 a 6 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
c40ec9bae66ae3602d4c43728fb7a568be23a7cc,7 a 8 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
88f707ed083c87a6d7a41158323fdc9bbc7a3704,1 a 2 horas,N/C,N/C,N/C,N/C,2,Regular,5,Excelente
980feb14ab34d6d5348b707d1a0785537d269ba0,5 a 6 horas,N/C,N/C,N/C,N/C,5,Excelente,5,Excelente
558149e18e2b69d8af73698bc5c42a9eb38f6315,7 a 8 horas,N/C,N/C,N/C,N/C,3,Buena,5,Excelente
ba7dbb79f299deb376edc4c46b1675a83a0cd8c2,5 a 6 horas,N/C,N/C,N/C,N/C,1,Poca,5,Excelente
4e6e6a2e4fb7385955a22585ed20c224fc434b84,7 a 8 horas,N/C,N/C,N/C,N/C,4,Muy buena,5,Excelente
