path_to_item	Completed	Started
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>Preguntas frecuentes sobre decisiones a futuro	13673	10916
Mis decisiones hablan de mi sexualidad>Decido mi futuro con base en mi sexualidad>Sexualidad y proyecto de vida	15571	16303
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>¿Qué son las relaciones afectivas?	13048	15181
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>La cercanía y la autonomía, un requisito para la autenticidad	12802	13698
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Toma de decisiones autónomas en las relaciones afectivas	12687	13486
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Decisiones en las relaciones afectivas	12510	13458
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Patrones de interacción en las relaciones afectivas	12782	10353
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Preguntas frecuentes sobre decisiones en las relaciones afectivas	12413	10173
Mis decisiones hablan de mi sexualidad>Yo decido cómo me relaciono>Sexualidad y relaciones afectivas	14901	15677
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>¿Qué es la actividad sexual?	12518	14589
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Estándares sexuales y decisiones sexuales	12465	13481
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Análisis crítico de los estándares sexuales	12229	13168
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Preguntas frecuentes sobre actividad sexual	12587	10156
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Sexualidad y actividades sexuales	14872	15388
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Actividad: ¿Qué aprendimos en el módulo 4?	13114	10807
Mis decisiones hablan de mi sexualidad>Sexualidad y decisiones sobre actividades sexuales>Preguntas y respuestas con respecto al consentimiento frente a la actividad sexual	11193	10006
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Objetivos módulo 5: "Me atrevo a conversar sobre sexualidad"	12360	10041
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Para comenzar: "Me atrevo a conversar sobre sexualidad"	12669	13910
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>¿Qué significa ser feliz?	12532	13476
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>¿Qué es bienestar?	12427	13372
Me atrevo a conversar sobre sexualidad>Sexualidad y bienestar>Relación entre sexualidad y bienestar	12283	13375
